Image,Latitude,Longitude
2021-10-18 (2).jpg,18.3663,73.75519
2021-10-18.jpg,18.23424,73.44096
2021-10-18.jpg,18.36633,73.75629
2021-10-20 (1).jpg,18.23334,73.44108
2021-10-20.jpg,18.23323,73.44119
2021-10-22.jpg,18.2339,73.44096
2021-10-23 (1).jpg,18.55501,73.78907
2021-10-23.jpg,18.55485,73.78931
2021-10-24 (1).jpg,18.52975,73.81635
2021-10-24 (2).jpg,18.52545,73.81534
2021-10-24 (3).jpg,18.52892,73.81671
2021-10-24 (4).jpg,18.52833,73.81515
2021-10-24 (5).jpg,18.52414,73.81635
2021-10-24 (6).jpg,18.52748,73.81593
2021-10-24.jpg,18.52721,73.81601
2021-10-28 (1).jpg,18.23413,73.44097
2021-10-28.jpg,18.2333,73.44123
2021-10-30 (1).jpg,18.53124,73.81618
2021-10-30.jpg,18.52308,73.8154
2021-11-05.jpg,18.44937,73.88094
2021-11-06 (1).jpg,18.44878,73.881
2021-11-06 (2).jpg,18.44826,73.88096
2021-11-06.jpg,18.44721,73.88076
2021-11-19 (1).jpg,18.36629,73.75721
2021-11-19.jpg,18.36631,73.75682
2021-11-21 (1).jpg,18.23392,73.44124
2021-11-21.jpg,18.23319,73.44086
2021-11-22 (1).jpg,18.23413,73.44092
2021-11-22 (1).jpg,18.44787,73.88081
2021-11-22.jpg,18.23422,73.44055
2021-11-22.jpg,18.44828,73.88084
2021-11-24 (1).jpg,18.27592,73.62235
2021-11-24.jpg,18.27597,73.62247
2021-12-02 (1).jpg,18.23374,73.44108
2021-12-02 (2).jpg,18.23337,73.44108
2021-12-02.jpg,18.23377,73.44054
2021-12-13 (1).jpg,18.23397,73.44081
2021-12-13.jpg,18.23429,73.44089
2021-12-19 (1).jpg,18.44812,73.88087
2021-12-19.jpg,18.44755,73.88091
2021-12-20 (1).jpg,18.36632,73.75517
2021-12-20 (2).jpg,18.36634,73.75536
2021-12-20 (3).jpg,18.36635,73.75704
2021-12-20.jpg,18.36629,73.75595
20210131_111611 (1).jpg,18.44919,73.88085
20210131_111611 (2).jpg,18.4476,73.88085
20210131_111611.jpg,18.44772,73.88092
20210209_172413 (1).jpg,18.23429,73.44124
20210209_172413.jpg,18.23425,73.44071
20210613_194238 (1).jpg,18.55364,73.7902
20210613_194238.jpg,18.55374,73.79077
20210905_082055 (1).jpg,18.55393,73.79128
20210905_082055.jpg,18.5541,73.78946
